"What is the privileged range of power?","between 80% and 90%"
"Which are the three conditions on the data to be met before performing ANOVA?","- observations are independent within and across groups
- data nearly normal in each group
- variability across groups about equal"
"Which are the hypotheses of ANOVA?","H_0_ANOVA: means are equal across groups
H_A_ANOVA: at least one mean is different"
"What is called data snooping or data fishing?","When one does informal testing (by eye) and then decide which data to test formally."
"What is the Bonferroni correction?","The Bonferroni correction suggests that a more stringent significance level is more appropriate for multiple comparisons (instead of alpha: alpha/K, where K = k(k-1)/2)"
"Name three error rates","1) false positive (false results are called significant)
2) family wise error (at least one false positive)
3) false discovery rate (claims of significance are false)"
"How can you control the false positive rate?","Call all results with p-value under alpha significant."
"How can you control the family-wise error rate?","Process with all hypothesis tests with regular  p-value .
Then, divide  alpha  by the number nh of hypothesis tests performed and call all tests with  p-value   significant."
"How do you control false discovery rate (FDR)?","- calculate p-values normally
- order p-values from smallest to largest
- call  alpha * rank/m  (with rank = position in the order and m = number of tests)"
"Which are the two general options to control false positives?","1) adjust the alpha level
2) adjust p-values (which are no longer p-values)"
"Which R function can you use to adjust p-values?","p.adjust( pValues, method )"
"What is resampling?","Resampling based procedures are ways to perform population based statistical inferences, while living within our data."
"For what is bootstraping useful?","For constructing confidence intervals and medians of difficult statistics"
"What is bootstrapping?","Simulating a distribution from a statistic (e.g. mean) from empirical data (e.g. sampling distribution of the mean based on only one sample)"
"Why use bootstraping?","When you do not have any information about the population (no parameter)"
"What do permutation tests do?","Creates a null distribution by resampling from the response with replacement."
"Why use permutation test? Instead of what?","To determine whether mean differences are statistically significant.
Instead of T-test, only for normal distributions."
"Which questions to ask in order to choose the right test?","1  Data : nominal or ratio/interval?
2  Sample : one or two samples? one sample with two measures?
3 Purpose: relationship?"
